Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шморгун,Ілля,Юрійович,Чоловіча,1988-05-31,Штукатур,хутір Городок,"узвіз Спортивна, буд. 23 кв. 4, Свалява, 10940",079 251 06 65,iosypshylo@example.net
Жук,Алевтин,Сергійович,Чоловіча,1981-02-17,Дерун,місто Балаклія,"провулок Тюльпанний, буд. 1 кв. 470, Добропілля, 01967",067 478 56 34,davydenkostepan@example.org
Зайченко,Богуслав,Петрович,Чоловіча,1999-11-02,Бізнесмен,селище Боково-Хрустальне,"вулиця Літній, буд. 5 кв. 26, Андрушівка, 06677",+380 11 218-37-59,iakiv57@example.org
Деряжний,Варфоломій,Сергійович,Чоловіча,1967-05-20,Дизайнер,селище Енергодар,"сквер Наявний 2-й, буд. 4 кв. 85, Ізюм, 78220",+380 00 680 96 81,jovcharenko@example.com
Масляк,Роман,Павлович,Чоловіча,1941-01-01,Кухар,місто Олександрівськ,"набережна Соляний 2-й, буд. 413, Підгайці, 41031",+380 30 602 13 17,stussymon@example.org
Матяш,Орест,Анатолійович,Чоловіча,1947-02-05,Петрограф,хутір Марганець,"площа Аркаса Миколи, буд. 444 кв. 96, Лозова, 78737",+380 81 706 14 58,obatih@example.org
Дзиндра,Теодор,Юрійович,Чоловіча,1988-01-17,Будник,селище Брянка,"провулок Весняна, буд. 45, Рівне, 37853",357-79-87,anastasiiabevz@example.net
Туркало,Феофан,Володимирович,Чоловіча,1942-07-09,Паблік рилейшнз,селище Старокостянтинів,"сквер Зелена гірка, буд. 6, Петрово-Красносілля, 47533",+380 26 654 79 27,taras80@example.net
Таран,Охрім,Володимирович,Чоловіча,2006-01-01,Вчитель,селище Новоселиця,"парк Пейзажна, буд. 969, Бучач, 95812",174-11-05,ptsarenko@example.org
Дубенко,Олекса,Олександрович,Чоловіча,1978-05-04,Графік,село Сорокине,"провулок Миколи Бурачека, буд. 106 кв. 4, Чуднів, 43413",090 461-05-92,hennadii44@example.net
Голобородько,Адам,Сергійович,Чоловіча,2006-05-20,Психолог,селище Бережани,"провулок Бібліотечна, буд. 7 кв. 000, Надвірна, 15826",+380 (03) 270-74-10,wopanasenko@example.net
Литвиненко,Олекса,Андрійович,Чоловіча,1957-09-24,Режисер,місто Яворів,"сквер Данила Крижанівського, буд. 255, Миронівка, 63522",250 64 23,nestor56@example.org
Данилюк,Ігнат,Юрійович,Чоловіча,1999-06-10,Редактор,селище Баранівка,"площа Грузинська, буд. 955 кв. 668, Вільногірськ, 01632",140-00-33,saliiviktor@example.com
Гоголь-Яновська,Ярема,Андрійович,Чоловіча,1970-03-12,Геолог,селище Слов'янськ,"провулок Баринштейна, буд. 93 кв. 562, Перемишляни, 84787",+380 59 877 93 29,shevchenkomariana@example.com
Левченко,Спас,Анатолійович,Чоловіча,1961-04-27,Ветеринар,хутір Апостолове,"набережна Поштовий, буд. 498 кв. 62, Корсунь-Шевченківський, 07957",+380 08 262-54-97,sdrozd@example.net
Худяк,Гордій,Анатолійович,Чоловіча,2007-08-12,Мікробіолог,село Новий Розділ,"провулок Лиманчик 2-й Лінія 9-та, буд. 8, Чуднів, 49577",+380 47 041-89-41,violetta97@example.net
Давимука,Мирослав,Володимирович,Чоловіча,1982-06-21,Електротехнік,місто Попасна,"набережна Кощового отамана, буд. 8, Біляївка, 77769",034 75 40,illiariabchenko@example.org
Ярема,Аркадій,Володимирович,Чоловіча,1984-04-05,Прокурор,місто Тальне,"шосе Старосінна, буд. 3, Білицьке, 25358",+380 53 059-42-90,ihnatvysochan@example.com
Фурс,Адам,Павлович,Чоловіча,1980-02-25,Кінолог,хутір Лебедин,"провулок Хімічна, буд. 2, Боярка, 36891",052 180-63-37,roksolana22@example.org
Єрмоленко,Веніямин,Юрійович,Чоловіча,1984-07-11,Письменник,селище Радомишль,"набережна Вернидуба, буд. 406 кв. 09, Шепетівка, 98470",262-72-54,lesonishchuk@example.net
Журавель,Орхип,Іванович,Чоловіча,1966-05-01,Науковець,хутір Камінь-Каширський,"провулок Десята, буд. 359 кв. 90, Барвінкове, 93294",017 023 43 04,telychenkosolomiia@example.net
Андрусенко,Кирило,Юрійович,Чоловіча,1983-06-28,Хімік,село Коростень,"провулок Хаджибейська дорога, буд. 357, Сокаль, 67110",024 210 25 72,tkachenkotaras@example.org
Бабійчук,Зиновій,Юрійович,Чоловіча,1940-05-05,Складальник,хутір Верхівцеве,"набережна Технічний, буд. 58, Куп'янськ, 31589",+380 90 235 02 25,khrystyna31@example.org
Негода,Демʼян,Володимирович,Чоловіча,1952-12-01,Зоолог,селище Путивль,"сквер Композитора Вербицького, буд. 203, Дубно, 38626",832 21 87,baranetsvadym@example.net
Гриценко,Зорян,Петрович,Чоловіча,1988-03-13,Маркетолог,хутір Сватове,"шосе Лінія 47-ма, буд. 75 кв. 64, Кремінна, 16521",+380 (65) 215-77-64,ielysavetashutko@example.com
Аверченко,Василь,Іванович,Чоловіча,1985-02-12,Сценарист,місто Новоазовськ,"сквер Ушинського, буд. 6, Белз, 50405",+380 (57) 598-98-42,hukostap@example.net
Голик,Костянтин,Андрійович,Чоловіча,1960-07-25,Режисер,село Марганець,"вулиця Індійська, буд. 8 кв. 311, Херсон, 57419",+380 33 337-42-21,iaremagoliash@example.com
Рубець,Леонтій,Анатолійович,Чоловіча,1986-06-29,Перекладач,село Сміла,"проспект Пересипська 10-та, буд. 621 кв. 35, Самбір, 07410",252 11 22,kovalenkoprokhir@example.org
Жаліло,Андрій,Олександрович,Чоловіча,1989-05-23,Менеджер,хутір Радехів,"узвіз 13-та ст. Великого Фонтану пляж, буд. 8, Галич, 78557",047 051-49-95,bohuslavashylo@example.com
Демʼяненко,Федір,Володимирович,Чоловіча,1970-12-23,Конструктор,село Нікополь,"проспект Шампанський, буд. 85 кв. 45, Білицьке, 65367",+380 61 119 46 15,lavrenkohanna@example.org
Семенченко,Герман,Анатолійович,Чоловіча,1963-02-05,Гірничий інженер,місто Ніжин,"набережна Наявний 1-й, буд. 6 кв. 78, Алушта, 02074",+380 (20) 490-58-16,pviter@example.net
Карпа,Феофан,Павлович,Чоловіча,1952-06-03,Намотувальник,хутір Синельникове,"парк Чорноморка, буд. 91, Баранівка, 36816",997-61-71,leonid30@example.org
Дрозд,Василь,Олександрович,Чоловіча,1998-07-17,Програміст,хутір Тетіїв,"парк Шилова, буд. 6, Гайсин, 99457",026 466 97 85,vasylynasirobaba@example.com
Макаренко,Демид,Павлович,Чоловіча,1941-11-20,Модель,село Українка,"шосе Цимлянська, буд. 195 кв. 66, Ізяслав, 23131",069 074-60-30,matviienkosviatoslava@example.com
Данильчук,Дмитро,Андрійович,Чоловіча,1965-11-26,Фольклорист,село Ялта,"проспект Тараса Кузьміна, буд. 71, Бахмач, 76306",+380 35 154-41-20,rostyslavtovstukha@example.net
Карпа,Мартин,Михайлович,Чоловіча,1990-07-25,Швачка,хутір Борислав,"провулок Листяна, буд. 69 кв. 964, Карлівка, 28779",+380 62 404 23 38,tkolodub@example.org
Хмара,Ігнат,Анатолійович,Чоловіча,2004-04-12,Футболіст,хутір Зеленодольськ,"провулок Чернігівська, буд. 295, Івано-Франківськ, 22596",+380 81 175 10 41,albina90@example.org
Андріїшина,Йосип,Олександрович,Чоловіча,1994-07-28,Інженер,селище Українськ,"сквер Панченка, буд. 603 кв. 317, Жмеринка, 80966",045 989-30-95,okashchenko@example.net
Твердохліб,Валерій,Сергійович,Чоловіча,1978-09-18,Дипломат,місто Старий Крим,"шосе Український 3-й, буд. 9 кв. 04, Чернігів, 13001",+380 74 850 64 13,lazarenkoalbert@example.net
Захаренко,Тимофій,Андрійович,Чоловіча,1956-04-03,Кур'єр,селище Дніпрорудне,"вулиця Тараса Кузьміна, буд. 208 кв. 67, Стебник, 81326",+380 (99) 955-21-36,vivcharenkooryna@example.net
